contest_id,name,draft_group,game_type,entry_fee,entries,max_entries,max_per_user,prize_pool,starts_utc,starts_text
195648008,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,555.0,1336,6006,150,3000000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648007,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,20.0,32500,176470,150,3000000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195745385,NFL $6M Midseason Main Event [$1.5M to 1st],153728,Classic,1500.0,0,4444,133,6000000.0,2026-11-01 18:00:00+00:00,Sun 1:00PM
195661370,"NFL $400K Game Changer [$100K to 1st, Single Entry]",153428,Classic,1500.0,49,282,1,400000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648006,NFL $800K Play-Action [20 Entry Max],153428,Classic,3.0,65003,317082,20,800000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195700990,NFL $101K Wildcat [$20K to 1st] (Early Only),153429,Classic,333.0,48,337,10,101000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648009,NFL $900K Luxury Box [$200K to 1st],153428,Classic,3180.0,81,300,9,900000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648010,"NFL $500K Power Sweep [$100K to 1st, 5 Entry Max]",153428,Classic,150.0,990,3703,5,500000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661358,"NFL $250K Power Sweep [$50K to 1st, 3 Entry Max]",153428,Classic,150.0,401,1851,3,250000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661359,NFL $100K Power Sweep [3 Entry Max],153428,Classic,150.0,191,740,3,100000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661374,"NFL $400K Spy [$100K to 1st, Single Entry]",153428,Classic,100.0,1040,4444,1,400000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661375,"NFL $150K Spy [$25K to 1st, Single Entry]",153428,Classic,100.0,330,1666,1,150000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
