contest_id,name,draft_group,game_type,entry_fee,entries,max_entries,max_per_user,prize_pool,starts_utc,starts_text
195648008,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,555.0,731,6006,150,3000000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648007,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,20.0,14861,176470,150,3000000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195677825,NFL Showdown $1.5M Thursday Night Showdown [$500K to 1st] (DET @ BUF),153434,Showdown Captain Mode,20.0,12351,88235,150,1500000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195648009,NFL $900K Luxury Box [$200K to 1st],153428,Classic,3180.0,37,300,9,900000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195677823,NFL Showdown $600K Wildcat [$150K to 1st] (DET @ BUF),153434,Showdown Captain Mode,333.0,358,2002,60,600000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195648006,NFL $800K Play-Action [20 Entry Max],153428,Classic,3.0,30723,317082,20,800000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195677827,NFL Showdown $300K Play-Action [20 Entry Max] (DET @ BUF),153434,Showdown Captain Mode,3.0,17381,118906,20,300000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677820,NFL Showdown $402K Luxury Box [$100K to 1st] (DET @ BUF),153434,Showdown Captain Mode,3180.0,34,134,4,402000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677826,NFL Showdown $250K Flea Flicker [$50K to 1st] (DET @ BUF),153434,Showdown Captain Mode,5.0,10802,59453,150,250000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195648010,"NFL $500K Power Sweep [$100K to 1st, 5 Entry Max]",153428,Classic,150.0,487,3703,5,500000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661358,"NFL $250K Power Sweep [$50K to 1st, 3 Entry Max]",153428,Classic,150.0,195,1851,3,250000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661359,NFL $100K Power Sweep [3 Entry Max],153428,Classic,150.0,102,740,3,100000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661374,"NFL $400K Spy [$100K to 1st, Single Entry]",153428,Classic,100.0,476,4444,1,400000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661375,"NFL $150K Spy [$25K to 1st, Single Entry]",153428,Classic,100.0,152,1666,1,150000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661320,NFL $50K Spy [Single Entry],153428,Classic,100.0,82,555,1,50000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661394,NFL GIANT $25 Double Up [Single Entry],153428,Classic,25.0,265,3448,1,75000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661329,NFL GIANT $25 Double Up [Single Entry],153428,Classic,25.0,160,2298,1,50000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661393,NFL GIANT $25 Double Up,153428,Classic,25.0,220,1839,55,40000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661395,NFL GIANT $25 Double Up [Single Entry],153428,Classic,25.0,93,919,1,20000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195677817,NFL Showdown $100K Huddle [Single Entry] (DET @ BUF),153434,Showdown Captain Mode,5.0,2289,23781,1,100000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677818,NFL Showdown $10K Huddle [Single Entry] (DET @ BUF),153434,Showdown Captain Mode,5.0,746,2378,1,10000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677840,"NFL Showdown $100K Spy [$20K to 1st, Single Entry] (DET @ BUF)",153434,Showdown Captain Mode,100.0,117,1111,1,100000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677841,NFL Showdown $35K Spy [Single Entry] (DET @ BUF),153434,Showdown Captain Mode,100.0,42,388,1,35000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677824,NFL Showdown $150K Bootleg [$50K to 1st] (DET @ BUF),153434,Showdown Captain Mode,33.0,900,5300,150,150000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677865,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,166,1379,1,6000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677866,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,94,689,1,3000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677867,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,44,229,1,1000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677881,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,40,229,1,1000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677882,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,32,229,1,1000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677883,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,31,229,1,1000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195677884,NFL Showdown Single Entry $5 Double Up (DET @ BUF),153434,Showdown Captain Mode,5.0,33,229,1,1000.0,2026-09-18 00:15:00+00:00,Thu 8:15PM
195661344,NFL $350K Flea Flicker [$50K to 1st],153428,Classic,5.0,9881,83234,150,350000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
