dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,game,starts_utc,norm,flex_eligible,captain_salary,draft_group,game_type,captured_at
1326638,44104966,Xavier Worthy,WR,KC,6600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,xavier worthy,1,9900,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1339352,44104997,Jeff Caldwell,WR,KC,200,512,IR,DEN @ KC,2026-09-15 00:15:00+00:00,jeff caldwell,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1377757,44104994,Jaydn Ott,RB,KC,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,jaydn ott,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1378660,44105001,Dane Key,WR,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,dane key,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1379251,44104981,Emmett Johnson,RB,KC,2600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,emmett johnson,1,3900,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1379261,44105002,Omari Evans,WR,KC,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,omari evans,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1380594,44104983,Jonah Coleman,RB,DEN,2400,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,jonah coleman,1,3600,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1382670,44104975,Cyrus Allen,WR,KC,4000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,cyrus allen,1,6000,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1403491,44104986,Jalen Royals,WR,KC,1200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,jalen royals,1,1800,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1405106,44105000,Andrew Armstrong,WR,KC,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,andrew armstrong,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1461173,44105011,Dallen Bentley,TE,DEN,200,512,OUT,DEN @ KC,2026-09-15 00:15:00+00:00,dallen bentley,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1522347,44104999,Kolbe Katsis,WR,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,kolbe katsis,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
