contest_id,name,draft_group,game_type,entry_fee,entries,max_entries,max_per_user,prize_pool,starts_utc,starts_text
195526250,NFL Showdown $700K Field General [$200K to 1st] (DEN @ KC),153086,Showdown Captain Mode,444.0,1519,1751,52,700000.0,,Mon 8:15PM
195526287,NFL Showdown $1.5M Monday Night Showdown [$500K to 1st] (DEN @ KC),153086,Showdown Captain Mode,20.0,85834,88235,150,1500000.0,,Mon 8:15PM
195526232,NFL Showdown $402K Luxury Box [$100K to 1st] (DEN @ KC),153086,Showdown Captain Mode,3180.0,128,134,4,402000.0,,Mon 8:15PM
195526251,NFL Showdown $150K Bootleg [$50K to 1st] (DEN @ KC),153086,Showdown Captain Mode,33.0,5293,5300,150,150000.0,,Mon 8:15PM
195526288,NFL Showdown $100K Chain-Mover [$20K to 1st] (DEN @ KC),153086,Showdown Captain Mode,10.0,10430,11764,150,100000.0,,Mon 8:15PM
195526252,"NFL Showdown $150K Wildcat [5 Entry Max, $25K to 1st] (DEN @ KC)",153086,Showdown Captain Mode,333.0,470,500,5,150000.0,,Mon 8:15PM
195526258,NFL Showdown $50K Power Sweep [5 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,150.0,278,370,5,50000.0,,Mon 8:15PM
195648008,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,555.0,274,6006,150,3000000.0,,Sun 1:00PM
195648007,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,20.0,4356,176470,150,3000000.0,,Sun 1:00PM
195648006,NFL $800K Play-Action [20 Entry Max],153428,Classic,3.0,9055,317082,20,800000.0,,Sun 1:00PM
195538971,$3M NFL King of the Desert Qualifier #18 (DEN @ KC),153086,Showdown Captain Mode,400.0,45,67,2,22800.0,,Mon 8:15PM
195526230,NFL Showdown $100K Huddle [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,5.0,22357,23781,1,100000.0,,Mon 8:15PM
195674390,NFL Showdown $4K Huddle [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,5.0,182,951,1,4000.0,,Mon 8:15PM
195526248,NFL Showdown $61K Luxury Box [$20K to 1st] (DEN @ KC),153086,Showdown Captain Mode,1500.0,40,43,1,61000.0,,Mon 8:15PM
195526279,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,1528,1609,1,7000.0,,Mon 8:15PM
195671306,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,122,172,1,750.0,,Mon 8:15PM
195666558,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,149,172,1,750.0,,Mon 8:15PM
195673037,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,46,91,1,400.0,,Mon 8:15PM
195671016,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,59,68,1,300.0,,Mon 8:15PM
195671018,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,56,68,1,300.0,,Mon 8:15PM
195671026,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,54,57,1,250.0,,Mon 8:15PM
195673195,NFL Showdown Single Entry $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,21,34,1,150.0,,Mon 8:15PM
195526310,NFL $7.5K Spy [Single Entry] (Mon-Thu),153109,Classic,100.0,52,83,1,7500.0,,Mon 8:15PM
195665152,NFL $8K Flea Flicker [$2K to 1st] (Mon-Thu),153109,Classic,5.0,1498,1902,57,8000.0,,Mon 8:15PM
195526301,NFL $7.2K Wildcat [Single Entry] (Mon-Thu),153109,Classic,333.0,19,24,1,7200.0,,Mon 8:15PM
195541942,NFL In-Game $15K 2nd Half Clash [$5K to 1st] (2H DEN @ KC),153093,In-Game Showdown (H2),20.0,81,882,26,15000.0,,Mon 9:15PM
195542462,NFL In-Game $20K Thunderdome [Must Fill] (2H DEN @ KC),153093,In-Game Showdown (H2),5300.0,0,4,1,20000.0,,Mon 9:15PM
195541940,NFL In-Game $1.8K Deep Threat [Single Entry] (2H DEN @ KC),153093,In-Game Showdown (H2),180.0,0,11,1,1800.0,,Mon 9:15PM
195670354,NFL Showdown Single Entry $25 Double Up (DEN @ KC),153086,Showdown Captain Mode,25.0,192,275,1,6000.0,,Mon 8:15PM
195674274,NFL Showdown Single Entry $25 Double Up (DEN @ KC),153086,Showdown Captain Mode,25.0,10,18,1,400.0,,Mon 8:15PM
195673579,NFL Showdown Single Entry $25 Double Up (DEN @ KC),153086,Showdown Captain Mode,25.0,13,16,1,350.0,,Mon 8:15PM
195526278,NFL Showdown $5 Double Up (DEN @ KC),153086,Showdown Captain Mode,5.0,1251,1609,48,7000.0,,Mon 8:15PM
195526242,NFL Showdown $25 Double Up (DEN @ KC),153086,Showdown Captain Mode,25.0,105,137,4,3000.0,,Mon 8:15PM
195526238,NFL Showdown $100 Double Up (DEN @ KC),153086,Showdown Captain Mode,100.0,56,68,2,6200.0,,Mon 8:15PM
195521360,"NFL Showdown SUPERSatellite to $4,444 NFL Fantasy Football MEGA Millionaire [3x] (DEN @ KC)",153086,Showdown Captain Mode,147.0,83,100,3,13332.0,,Mon 8:15PM
195521430,"NFL Showdown $5,085 2026 FFWC Qualifier Satellite (DEN @ KC)",153086,Showdown Captain Mode,84.0,66,68,2,5085.0,,Mon 8:15PM
195526233,NFL Showdown $25K Checkdown Pass [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,777.0,30,35,1,25000.0,,Mon 8:15PM
195670926,NFL Showdown $10K Spy [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,100.0,56,111,1,10000.0,,Mon 8:15PM
195526268,NFL Showdown $40K Bubble Screen [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,15.0,2855,3137,1,40000.0,,Mon 8:15PM
195668753,NFL Showdown $10K Bubble Screen [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,15.0,723,784,1,10000.0,,Mon 8:15PM
195674350,NFL Showdown $500 Bubble Screen [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,15.0,8,39,1,500.0,,Mon 8:15PM
195526263,"NFL Showdown $40K Double Spy [$10K to 1st, Single Entry] (DEN @ KC)",153086,Showdown Captain Mode,200.0,209,222,1,40000.0,,Mon 8:15PM
195526255,NFL Showdown $75K First Down [20 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,1.0,86923,89179,20,75000.0,,Mon 8:15PM
195671829,NFL Showdown $15K Play-Action [20 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,3.0,4487,5945,20,15000.0,,Mon 8:15PM
195671472,NFL Showdown $10K Flea Flicker [$2K to 1st] (DEN @ KC),153086,Showdown Captain Mode,5.0,1470,2378,71,10000.0,,Mon 8:15PM
195669868,NFL Showdown Single Entry $10 Double Up (DEN @ KC),153086,Showdown Captain Mode,10.0,202,344,1,3000.0,,Mon 8:15PM
195669416,NFL Showdown Single Entry $10 Double Up (DEN @ KC),153086,Showdown Captain Mode,10.0,110,114,1,1000.0,,Mon 8:15PM
195674273,NFL Showdown Single Entry $10 Double Up (DEN @ KC),153086,Showdown Captain Mode,10.0,10,34,1,300.0,,Mon 8:15PM
195526237,NFL Showdown Single Entry $250 Double Up (DEN @ KC),153086,Showdown Captain Mode,250.0,18,22,1,5000.0,,Mon 8:15PM
195665715,NFL Showdown Single Entry $2 Double Up (DEN @ KC),153086,Showdown Captain Mode,2.0,348,574,1,1000.0,,Mon 8:15PM
195526282,"NFL Showdown $1,060 50-50 [Top 50% Win] (DEN @ KC)",153086,Showdown Captain Mode,1060.0,9,12,1,12000.0,,Mon 8:15PM
195526283,NFL Showdown $530 50-50 [Top 50% Win] (DEN @ KC),153086,Showdown Captain Mode,530.0,15,20,1,10000.0,,Mon 8:15PM
195673289,NFL Showdown Single Entry $100 Double Up (DEN @ KC),153086,Showdown Captain Mode,100.0,9,22,1,2000.0,,Mon 8:15PM
195673038,NFL Showdown Single Entry $100 Double Up (DEN @ KC),153086,Showdown Captain Mode,100.0,6,11,1,1000.0,,Mon 8:15PM
195665381,NFL Showdown Single Entry $50 Double Up (DEN @ KC),153086,Showdown Captain Mode,50.0,111,113,1,5000.0,,Mon 8:15PM
195672709,NFL Showdown Single Entry $50 Double Up (DEN @ KC),153086,Showdown Captain Mode,50.0,14,34,1,1500.0,,Mon 8:15PM
195672737,NFL Showdown Single Entry $50 Double Up (DEN @ KC),153086,Showdown Captain Mode,50.0,10,22,1,1000.0,,Mon 8:15PM
195526267,NFL Showdown $20K Red Zone [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,50.0,448,454,1,20000.0,,Mon 8:15PM
195672818,NFL Showdown $1.5K Red Zone [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,50.0,21,34,1,1500.0,,Mon 8:15PM
195672995,NFL Showdown $500 Red Zone [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,50.0,6,11,1,500.0,,Mon 8:15PM
195526256,NFL Showdown $12.5K Quarter Jukebox [Just $0.25!] (DEN @ KC),153086,Showdown Captain Mode,0.25,55610,59453,20,12500.0,,Mon 8:15PM
195521434,"NFL Showdown Satellite to NFL 10-12 $4,444 Showdown MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,70.0,50,72,2,4444.0,,Mon 8:15PM
195521435,"NFL Showdown Satellite to NFL 10-12 $4,444 Showdown MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,176.0,21,28,1,4444.0,,Mon 8:15PM
195521356,"NFL Showdown Satellite to NFL $4,444 Fantasy Football MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,75.0,59,67,2,4444.0,,Mon 8:15PM
195521355,"NFL Showdown Satellite to NFL $4,444 Fantasy Football MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,75.0,56,67,2,4444.0,,Mon 8:15PM
195526304,NFL $3K Play-Action [20 Entry Max] (Mon-Thu),153109,Classic,3.0,884,1189,20,3000.0,,Mon 8:15PM
195666254,NFL $1.5K Bootleg (Mon-Thu),153109,Classic,33.0,23,53,1,1500.0,,Mon 8:15PM
195526313,NFL $7.5K Pylon [Single Entry] (Mon-Thu),153109,Classic,3.0,2904,2972,1,7500.0,,Mon 8:15PM
195645191,NFL $20K Thunderdome [Must Fill] (Mon-Thu),153109,Classic,5300.0,0,4,1,20000.0,,Mon 8:15PM
195526308,NFL $2K Nickel [3 Entry Max] (Mon-Thu),153109,Classic,5.0,424,475,3,2000.0,,Mon 8:15PM
195521354,"NFL Showdown Satellite to NFL $4,444 Fantasy Football MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,176.0,24,28,1,4444.0,,Mon 8:15PM
195521353,"NFL Showdown Satellite to NFL $4,444 Fantasy Football MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,176.0,24,28,1,4444.0,,Mon 8:15PM
195673078,NFL Showdown $3.5K mini-MAX [150 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,0.5,5554,8323,150,3500.0,,Mon 8:15PM
195672115,NFL Showdown $2K Goal Line [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,75.0,18,30,1,2000.0,,Mon 8:15PM
195671381,NFL Showdown $2K Cover Four [3 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,4.0,410,594,3,2000.0,,Mon 8:15PM
195526271,NFL Showdown $7.5K Daily Dollar [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,1.0,8316,8917,1,7500.0,,Mon 8:15PM
195519380,NFL Showdown $100K Heavy Hitter [Must Fill] (DEN @ KC),153086,Showdown Captain Mode,26200.0,2,4,1,100000.0,,Mon 8:15PM
195519381,NFL Showdown $75K Heavy Hitter [Must Fill] (DEN @ KC),153086,Showdown Captain Mode,26200.0,2,3,1,75000.0,,Mon 8:15PM
195521350,"NFL Showdown Satellite to NFL $4,444 Fantasy Football MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,448.0,10,11,1,4444.0,,Mon 8:15PM
195521357,"NFL Showdown Satellite to NFL $4,444 Fantasy Football MEGA Millionaire (DEN @ KC)",153086,Showdown Captain Mode,37.0,139,140,4,4444.0,,Mon 8:15PM
195519971,NFL Single Stat $20K Thunderdome [Must Fill] (DEN @ KC Total Yards),153108,Single Stat - Total Yards,5300.0,0,4,1,20000.0,,Mon 8:15PM
195525726,NFL Single Stat $3K Winner Take All [20 Entry Max] (DEN @ KC Total Yards),153108,Single Stat - Total Yards,5.0,705,713,20,3000.0,,Mon 8:15PM
195520532,NFL Single Stat $1K Winner Take All [Single Entry] (DEN @ KC Total Yards),153108,Single Stat - Total Yards,5.0,207,237,1,1000.0,,Mon 8:15PM
195519973,"NFL Single Stat $10,170 2026 FFWC Qualifier Satellite [Must Fill] (DEN @ KC Total Yards)",153108,Single Stat - Total Yards,3592.0,0,3,1,10170.0,,Mon 8:15PM
195519974,"NFL Single Stat Satellite to NFL 10-12 $4,444 Showdown MEGA Millionaire [Must Fill] (DEN @ KC Total ",153108,Single Stat - Total Yards,1570.0,0,3,1,4444.0,,Mon 8:15PM
195648009,NFL $900K Luxury Box [$200K to 1st],153428,Classic,3180.0,25,300,9,900000.0,,Sun 1:00PM
195648010,"NFL $500K Power Sweep [$100K to 1st, 5 Entry Max]",153428,Classic,150.0,199,3703,5,500000.0,,Sun 1:00PM
195661358,"NFL $250K Power Sweep [$50K to 1st, 3 Entry Max]",153428,Classic,150.0,16,1851,3,250000.0,,Sun 1:00PM
195661359,NFL $100K Power Sweep [3 Entry Max],153428,Classic,150.0,8,740,3,100000.0,,Sun 1:00PM
195664806,NFL Showdown Satellite to NFL $555 Fantasy Football Millionaire (DEN @ KC),153086,Showdown Captain Mode,90.0,4,7,1,555.0,,Mon 8:15PM
195521369,NFL Showdown SUPERSatellite to NFL $555 Fantasy Football Millionaire [2x] (DEN @ KC),153086,Showdown Captain Mode,137.0,8,9,1,1110.0,,Mon 8:15PM
195519382,NFL Showdown $60K Nosebleed Section [Must Fill] (DEN @ KC),153086,Showdown Captain Mode,10600.0,1,6,1,60000.0,,Mon 8:15PM
195519379,NFL Showdown $20K Thunderdome [Must Fill] (DEN @ KC),153086,Showdown Captain Mode,5300.0,2,4,1,20000.0,,Mon 8:15PM
195665616,NFL Showdown $5K Safety [20 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,2.0,2805,2972,20,5000.0,,Mon 8:15PM
195673690,NFL Showdown $250 Safety (DEN @ KC),153086,Showdown Captain Mode,2.0,77,148,4,250.0,,Mon 8:15PM
195526262,NFL Showdown $7.5K Singleback [5 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,1.0,8715,8917,5,7500.0,,Mon 8:15PM
195672480,NFL Showdown $750 Singleback [3 Entry Max] (DEN @ KC),153086,Showdown Captain Mode,1.0,622,891,3,750.0,,Mon 8:15PM
195526257,NFL Showdown $5K Dime Package [Just $0.10!]  (DEN @ KC),153086,Showdown Captain Mode,0.1,57128,59453,20,5000.0,,Mon 8:15PM
195673657,NFL Showdown $50 Dime Package [Just $0.10!] (DEN @ KC),153086,Showdown Captain Mode,0.1,535,594,17,50.0,,Mon 8:15PM
195673979,NFL Showdown $500 Pylon [Single Entry] (DEN @ KC),153086,Showdown Captain Mode,3.0,66,198,1,500.0,,Mon 8:15PM
195526239,NFL Showdown $50 Double Up (DEN @ KC),153086,Showdown Captain Mode,50.0,59,68,2,3000.0,,Mon 8:15PM
195672340,NFL Showdown $2 Double Up (DEN @ KC),153086,Showdown Captain Mode,2.0,330,574,17,1000.0,,Mon 8:15PM
