dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,disabled,attributes,game,starts_utc,norm,flex_eligible,captain_salary,playing,draft_group,game_type,captured_at
326,0,Bears,DST,CHI,2500,71,,False,,PHI @ CHI,,bears,0,2500,clear,153774,Classic,2026-09-26T15:14:08+00:00
332,0,Broncos,DST,DEN,2300,71,,False,,LAR @ DEN,,broncos,0,2300,clear,153774,Classic,2026-09-26T15:14:08+00:00
343,0,Rams,DST,LAR,3100,71,,False,,LAR @ DEN,,rams,0,3100,clear,153774,Classic,2026-09-26T15:14:08+00:00
354,0,Eagles,DST,PHI,3200,71,,False,,PHI @ CHI,,eagles,0,3200,clear,153774,Classic,2026-09-26T15:14:08+00:00
322858,0,Andy Dalton,QB,PHI,4000,66,,False,,PHI @ CHI,,andy dalton,0,4000,clear,153774,Classic,2026-09-26T15:14:08+00:00
323205,0,Matthew Stafford,QB,LAR,5900,66,,False,,LAR @ DEN,,matthew stafford,0,5900,clear,153774,Classic,2026-09-26T15:14:08+00:00
338280,0,Case Keenum,QB,CHI,4000,66,,False,,PHI @ CHI,,case keenum,0,4000,clear,153774,Classic,2026-09-26T15:14:08+00:00
503177,0,Zach Ertz,TE,PHI,3100,69,,False,,PHI @ CHI,,zach ertz,0,3100,clear,153774,Classic,2026-09-26T15:14:08+00:00
604176,0,Tyler Higbee,TE,LAR,2900,69,,False,,LAR @ DEN,,tyler higbee,0,2900,clear,153774,Classic,2026-09-26T15:14:08+00:00
611417,0,Davante Adams,WR,LAR,6200,68,,False,,LAR @ DEN,,davante adams,0,6200,clear,153774,Classic,2026-09-26T15:14:08+00:00
692660,0,Kalif Raymond,WR,CHI,3800,68,,False,,PHI @ CHI,,kalif raymond,0,3800,clear,153774,Classic,2026-09-26T15:14:08+00:00
740704,0,Johnny Mundt,TE,PHI,2600,69,,False,,PHI @ CHI,,johnny mundt,0,2600,clear,153774,Classic,2026-09-26T15:14:08+00:00
749185,0,Evan Engram,TE,DEN,3100,69,,False,,LAR @ DEN,,evan engram,0,3100,clear,153774,Classic,2026-09-26T15:14:08+00:00
791365,0,Dallas Goedert,TE,PHI,4600,69,,False,,PHI @ CHI,,dallas goedert,0,4600,clear,153774,Classic,2026-09-26T15:14:08+00:00
838878,0,Courtland Sutton,WR,DEN,5200,68,,False,,LAR @ DEN,,courtland sutton,0,5200,clear,153774,Classic,2026-09-26T15:14:08+00:00
843733,0,Mitchell Fraboni,TE,DEN,2500,69,,False,,LAR @ DEN,,mitchell fraboni,0,2500,clear,153774,Classic,2026-09-26T15:14:08+00:00
865868,0,Jarrett Stidham,QB,DEN,4000,66,,False,,LAR @ DEN,,jarrett stidham,0,4000,clear,153774,Classic,2026-09-26T15:14:08+00:00
