dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,disabled,attributes,game,starts_utc,norm,flex_eligible,captain_salary,playing,draft_group,game_type,captured_at
331,0,Cowboys,DST,DAL,2400,71,,False,,BAL @ DAL,,cowboys,0,2400,clear,153772,Classic,2026-09-26T15:14:08+00:00
341,0,Raiders,DST,LV,2600,71,,False,,LV @ NO,,raiders,0,2600,clear,153772,Classic,2026-09-26T15:14:08+00:00
347,0,Vikings,DST,MIN,3100,71,,False,,MIN @ TB,,vikings,0,3100,clear,153772,Classic,2026-09-26T15:14:08+00:00
350,0,Saints,DST,NO,3300,71,,False,,LV @ NO,,saints,0,3300,clear,153772,Classic,2026-09-26T15:14:08+00:00
355,0,Cardinals,DST,ARI,2300,71,,False,,ARI @ SF,,cardinals,0,2300,clear,153772,Classic,2026-09-26T15:14:08+00:00
359,0,49ers,DST,SF,3600,71,,False,,ARI @ SF,,49ers,0,3600,clear,153772,Classic,2026-09-26T15:14:08+00:00
362,0,Buccaneers,DST,TB,2600,71,,False,,MIN @ TB,,buccaneers,0,2600,clear,153772,Classic,2026-09-26T15:14:08+00:00
366,0,Ravens,DST,BAL,2800,71,,False,,BAL @ DAL,,ravens,0,2800,clear,153772,Classic,2026-09-26T15:14:08+00:00
300580,0,Andrew DePaola,TE,MIN,2500,69,,False,,MIN @ TB,,andrew depaola,0,2500,clear,153772,Classic,2026-09-26T15:14:08+00:00
403308,0,Kirk Cousins,QB,LV,4800,66,,False,,LV @ NO,,kirk cousins,0,4800,clear,153772,Classic,2026-09-26T15:14:08+00:00
501150,0,Kyle Juszczyk,RB,SF,4000,67,,False,,ARI @ SF,,kyle juszczyk,0,4000,clear,153772,Classic,2026-09-26T15:14:08+00:00
591816,0,Dak Prescott,QB,DAL,6700,66,,False,,BAL @ DAL,,dak prescott,0,6700,clear,153772,Classic,2026-09-26T15:14:08+00:00
593587,0,Mike Evans,WR,SF,6800,68,,False,,ARI @ SF,,mike evans,0,6800,clear,153772,Classic,2026-09-26T15:14:08+00:00
606488,0,Nick Vannett,TE,BAL,2500,69,,False,,BAL @ DAL,,nick vannett,0,2500,clear,153772,Classic,2026-09-26T15:14:08+00:00
606551,0,Chris Moore,WR,BAL,3100,68,,False,,BAL @ DAL,,chris moore,0,3100,clear,153772,Classic,2026-09-26T15:14:08+00:00
