dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,disabled,attributes,game,starts_utc,norm,flex_eligible,captain_salary,playing,draft_group,game_type,captured_at
345,0,Dolphins,DST,MIA,3000,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,dolphins,0,3000,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
359,0,49ers,DST,SF,5800,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,49ers,0,5800,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
501150,0,Kyle Juszczyk,RB,SF,1400,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,kyle juszczyk,0,1400,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
593587,0,Mike Evans,WR,SF,9600,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,mike evans,0,9600,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
727279,0,Demarcus Robinson,WR,SF,6400,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,demarcus robinson,0,6400,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
732774,0,Zane Gonzalez,K,MIA,4800,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,zane gonzalez,0,4800,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
733672,0,George Kittle,TE,SF,7600,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,george kittle,0,7600,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
757521,0,KhaDarel Hodge,WR,SF,200,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,khadarel hodge,0,200,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
830517,0,Christian McCaffrey,RB,SF,12000,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,christian mccaffrey,0,12000,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
835749,0,Deebo Samuel Sr.,WR,SF,8000,512,,False,,MIA @ SF,1970-01-01 00:29:49.935900+00:00,deebo samuel,0,8000,clear,153445,Showdown Captain Mode,2026-09-20T16:45:31+00:00
