dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,disabled,attributes,game,starts_utc,norm,flex_eligible,captain_salary,playing,draft_group,game_type,captured_at
347,0,Vikings,DST,MIN,5200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,vikings,0,5200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
362,0,Buccaneers,DST,TB,3200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,buccaneers,0,3200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
300580,0,Andrew DePaola,TE,MIN,200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,andrew depaola,0,200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
613866,0,Carson Wentz,QB,MIN,8600,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,carson wentz,0,8600,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
741314,0,Aaron Jones Sr.,RB,MIN,8800,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,aaron jones,0,8800,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
748070,0,Baker Mayfield,QB,TB,10000,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,baker mayfield,0,10000,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
831007,0,Easton Stick,QB,TB,6000,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,easton stick,0,6000,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
835127,0,Chris Godwin Jr.,WR,TB,8200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,chris godwin,0,8200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
861446,0,Chase McLaughlin,K,TB,4800,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,chase mclaughlin,0,4800,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
866973,0,David Sills V,WR,TB,200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,david sills,0,200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
867009,0,Jauan Jennings,WR,MIN,3600,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,jauan jennings,0,3600,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
879799,0,Kyler Murray,QB,MIN,9600,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,kyler murray,0,9600,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
881779,0,Josh Oliver,TE,MIN,1600,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,josh oliver,0,1600,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
911239,0,Ko Kieft,TE,TB,400,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,ko kieft,0,400,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
923915,0,T.J. Hockenson,TE,MIN,5600,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,t j hockenson,0,5600,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
976309,0,DeeJay Dallas,RB,MIN,2400,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,deejay dallas,0,2400,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
1049263,0,Cade Otton,TE,TB,4000,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,cade otton,0,4000,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
1069535,0,Justin Jefferson,WR,MIN,11600,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,justin jefferson,0,11600,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
1106382,0,Jeshaun Jones,WR,MIN,200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,jeshaun jones,0,200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
1108937,0,Jaret Patterson,RB,MIN,200,512,,False,,MIN @ TB,1970-01-01 00:29:50.539500+00:00,jaret patterson,0,200,clear,153786,Showdown Captain Mode,2026-09-24T15:15:59+00:00
