dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,disabled,attributes,game,starts_utc,norm,flex_eligible,captain_salary,playing,draft_group,game_type,captured_at
336,0,Titans,DST,TEN,3400,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,titans,0,3400,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
351,0,Giants,DST,NYG,4400,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,giants,0,4400,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
563293,0,Chris Manhertz,TE,NYG,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,chris manhertz,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
589984,0,Odell Beckham Jr.,WR,NYG,1200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,odell beckham,0,1200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
658389,0,Patrick Ricard,RB,NYG,400,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,patrick ricard,0,400,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
691536,0,Jameis Winston,QB,NYG,9000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,jameis winston,0,9000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
728169,0,Mitchell Trubisky,QB,TEN,6000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,mitchell trubisky,0,6000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
820866,0,Braxton Berrios,WR,NYG,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,braxton berrios,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
836963,0,Joey Slye,K,TEN,4600,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,joey slye,0,4600,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
880398,0,Tony Pollard,RB,TEN,9400,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,tony pollard,0,9400,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
881058,0,K.J. Osborn,WR,TEN,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,k j osborn,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
884013,0,Calvin Ridley,WR,TEN,4000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,calvin ridley,0,4000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
912027,0,Darnell Mooney,WR,NYG,5000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,darnell mooney,0,5000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
916466,0,Devin Singletary,RB,NYG,3200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,devin singletary,0,3200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
921050,0,Kylen Granson,TE,TEN,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,kylen granson,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
973964,0,Najee Harris,RB,NYG,2400,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,najee harris,0,2400,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
976329,0,Michael Carter,RB,TEN,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,michael carter,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
976966,0,Hendon Hooker,QB,TEN,6000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,hendon hooker,0,6000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1049254,0,Jake Haener,QB,NYG,6000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,jake haener,0,6000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1062765,0,Calvin Austin III,WR,NYG,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,calvin austin,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1067132,0,Charlie Jones,WR,NYG,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,charlie jones,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1109708,0,Tyrone Tracy Jr.,RB,NYG,2000,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,tyrone tracy,0,2000,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1122035,0,Daniel Bellinger,TE,TEN,600,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,daniel bellinger,0,600,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1123364,0,Joel Wilson,TE,TEN,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,joel wilson,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1124199,0,David Martin-Robinson,TE,TEN,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,david martin robinson,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1125111,0,Isaiah Likely,TE,NYG,7600,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,isaiah likely,0,7600,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1125846,0,Julius Chestnut,RB,TEN,800,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,julius chestnut,0,800,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1164875,0,Wan'Dale Robinson,WR,TEN,5600,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,wandale robinson,0,5600,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
1168410,0,Gunner Olszewski,WR,NYG,200,512,,False,,TEN @ NYG,1970-01-01 00:29:50.528400+00:00,gunner olszewski,0,200,clear,153782,Showdown Captain Mode,2026-09-23T15:14:30+00:00
